wave,state,band,band_lbl,pass3,n_raw,n_eff,mandate_exposure
2009,AK,1,18-24,0.21719987326197074,49,40.85912543079673,0.0
2009,AK,2,25-34,0.15025730598321457,86,77.43512933928423,0.0
2009,AK,3,35-44,0.2788491432480634,79,69.02866209331364,0.0
2009,AK,4,45-54,0.22503446514665743,100,91.09337822324402,0.0
2009,AK,5,55-64,0.3022231802946185,75,66.02293184055816,0.0
2009,AK,6,65+,0.2501203919535436,36,32.98536793645754,0.0
2009,AL,1,18-24,0.18217238175048084,68,63.24771249542711,0.0
2009,AL,2,25-34,0.2498979141301604,88,79.6257063862258,0.0
2009,AL,3,35-44,0.27491502594608547,103,95.39242626865993,0.0
2009,AL,4,45-54,0.25269123936775045,115,105.49396092057194,0.0
2009,AL,5,55-64,0.3611860701775149,89,82.88013073842795,0.0
2009,AL,6,65+,0.2613253424592434,94,88.73603234072029,0.0
2009,AR,1,18-24,0.1735488704389968,67,61.57778272806074,0.7142857142857143
2009,AR,2,25-34,0.1383604344722947,104,92.97646498566036,0.0
2009,AR,3,35-44,0.2653373815103372,113,102.98240427161922,0.0
2009,AR,4,45-54,0.23617975357163098,123,114.96541784315703,0.0
2009,AR,5,55-64,0.31863975518657894,94,87.75211700852209,0.0
2009,AR,6,65+,0.20149011356975882,93,88.07073941984716,0.0
2009,AZ,1,18-24,0.23318245765922924,66,58.158453377785314,0.7142857142857143
2009,AZ,2,25-34,0.11729623527260284,105,89.48700182335445,0.0
2009,AZ,3,35-44,0.20950364805887667,113,95.16808059613082,0.0
2009,AZ,4,45-54,0.30723441751100616,113,100.76243290573531,0.0
2009,AZ,5,55-64,0.4040561848438351,89,80.25075147108215,0.0
2009,AZ,6,65+,0.35685851700810145,90,80.60466463894092,0.0
2009,CA,1,18-24,0.19107797067987098,76,69.53556922825535,0.0
2009,CA,2,25-34,0.2285745645047978,106,92.00230675297357,0.0
2009,CA,3,35-44,0.32406623945039803,119,103.0359732449339,0.0
2009,CA,4,45-54,0.29680454897049663,112,98.50650217093246,0.0
2009,CA,5,55-64,0.3460217613902047,80,67.67431514890407,0.0
2009,CA,6,65+,0.32560566013419195,74,66.20475505835792,0.0
2009,CO,1,18-24,0.11585013173827059,65,58.054264974783734,0.14285714285714285
2009,CO,2,25-34,0.21180888835511855,106,91.39237961341564,0.0
2009,CO,3,35-44,0.24480714974764106,123,105.90036449451179,0.0
2009,CO,4,45-54,0.33983636378128257,121,104.58749899374413,0.0
2009,CO,5,55-64,0.2704053597140561,88,78.4615707149363,0.0
2009,CO,6,65+,0.2577885468131287,72,66.62407556419018,0.0
2009,CT,1,18-24,0.13039485805553283,67,58.64614534458097,0.0
2009,CT,2,25-34,0.20549327450691715,86,74.73181612710002,0.0
2009,CT,3,35-44,0.3517061000960724,114,99.0448864582802,0.0
2009,CT,4,45-54,0.35095047608474234,126,113.90555947227918,0.0
2009,CT,5,55-64,0.30795339535714283,88,79.39557982766821,0.0
2009,CT,6,65+,0.34087803496609864,89,82.41162072014599,0.0
2009,DC,1,18-24,0.2324616946717815,59,51.13394773190757,0.0
2009,DC,2,25-34,0.17344972560885552,113,99.37329579086472,0.0
2009,DC,3,35-44,0.24821270919101482,78,68.32604813865856,0.0
2009,DC,4,45-54,0.30859115073313426,75,67.17764886293627,0.0
2009,DC,5,55-64,0.349323062219074,75,66.73518339798018,0.0
2009,DC,6,65+,0.3689955979659745,26,23.661994963385517,0.0
2009,DE,1,18-24,0.22390251962144997,54,48.19522834548841,0.0
2009,DE,2,25-34,0.1257005649040201,93,83.63125188030311,0.0
2009,DE,3,35-44,0.2950711642935212,104,95.33667616521458,0.0
2009,DE,4,45-54,0.34853569690852865,124,112.61614064559892,0.0
2009,DE,5,55-64,0.23128008160937907,108,100.1961629650753,0.0
2009,DE,6,65+,0.3278159842520888,89,81.61723141529318,0.0
2009,FL,1,18-24,0.16542772974460251,60,54.30186092162139,0.0
2009,FL,2,25-34,0.286096611820115,97,84.27501955314949,0.0
2009,FL,3,35-44,0.24374662593210006,106,93.53335717627255,0.0
2009,FL,4,45-54,0.2071765666352161,109,99.47791634216999,0.0
2009,FL,5,55-64,0.3439500526256735,90,79.9026376055709,0.0
2009,FL,6,65+,0.3113210405804156,113,104.28254831327519,0.0
2009,GA,1,18-24,0.1947650957865261,73,66.7482567140768,0.42857142857142855
2009,GA,2,25-34,0.1773424889864646,107,94.60239009819642,0.0
2009,GA,3,35-44,0.2875796389388261,117,107.37095039427906,0.0
2009,GA,4,45-54,0.22012788923904267,113,106.15524149176183,0.0
2009,GA,5,55-64,0.3313341095106873,84,75.88266670915847,0.0
2009,GA,6,65+,0.3173529411910173,78,71.35197268123953,0.0
2009,HI,1,18-24,0.19847022652375873,37,31.56130447612192,0.0
2009,HI,2,25-34,0.19890264014839013,84,71.07924351061381,0.0
2009,HI,3,35-44,0.17141999639582464,77,65.75665893607534,0.0
2009,HI,4,45-54,0.22772258054677802,97,83.50766431779535,0.0
2009,HI,5,55-64,0.4081727482520474,66,57.424192001518406,0.0
2009,HI,6,65+,0.3834764106641589,41,34.57248242754021,0.0
2009,IA,1,18-24,0.17713125978434385,66,61.12996229370874,0.0
2009,IA,2,25-34,0.22346655155338455,91,81.90332113385536,0.0
2009,IA,3,35-44,0.2603776864103417,100,90.84786322391078,0.0
2009,IA,4,45-54,0.18609409942857222,117,109.88479613580853,0.0
2009,IA,5,55-64,0.25857296858957884,87,81.85096230122963,0.0
2009,IA,6,65+,0.3063780326781376,96,89.33115483644288,0.0
2009,ID,1,18-24,0.16437019900565283,65,58.12828519471467,0.42857142857142855
2009,ID,2,25-34,0.14871662589724852,108,96.52887370622781,0.0
2009,ID,3,35-44,0.3481215184614866,112,99.5751542303165,0.0
2009,ID,4,45-54,0.24878226532196587,112,103.16286551317276,0.0
2009,ID,5,55-64,0.35680255498398283,95,88.68364638773095,0.0
2009,ID,6,65+,0.34236336613369595,83,77.12007589056083,0.0
2009,IL,1,18-24,0.17914253876101247,68,60.863235818072376,1.0
2009,IL,2,25-34,0.1982354261698405,103,90.34447825952103,1.0
2009,IL,3,35-44,0.22254499668313335,113,98.28159397932602,1.0
2009,IL,4,45-54,0.2697129106822751,114,102.61355879751417,1.0
2009,IL,5,55-64,0.33727170430614256,87,80.96011040749855,0.3
2009,IL,6,65+,0.3055804898162425,84,77.99481714830054,0.0
2009,IN,1,18-24,0.19845098362450714,66,61.48153544285661,0.0
2009,IN,2,25-34,0.18553308868643484,96,86.38500264218976,0.0
2009,IN,3,35-44,0.1845843397192003,114,104.13249517242312,0.0
2009,IN,4,45-54,0.23334269520559042,116,108.40326347628833,0.0
2009,IN,5,55-64,0.20704901693234298,91,84.10428537491173,0.0
2009,IN,6,65+,0.30043555863118215,88,82.7896327964868,0.0
2009,KS,1,18-24,0.2078342191906262,70,63.57634948187591,0.0
2009,KS,2,25-34,0.24685925340723225,95,82.71547300229004,0.0
2009,KS,3,35-44,0.25129745027482553,120,105.00752910828741,0.0
2009,KS,4,45-54,0.29275805228048235,118,107.97685567291347,0.0
2009,KS,5,55-64,0.2994467121761255,90,81.92408601846614,0.0
2009,KS,6,65+,0.25373778979652095,90,85.03832257678198,0.0
2009,KY,1,18-24,0.13977313734981509,62,58.14675028503556,0.0
2009,KY,2,25-34,0.253731482013768,99,89.46148811128458,0.0
2009,KY,3,35-44,0.26535195113585175,105,97.64075232995317,0.0
2009,KY,4,45-54,0.2823983526608273,118,109.856199692732,0.0
2009,KY,5,55-64,0.3537354518475735,90,84.43000371135733,0.0
2009,KY,6,65+,0.29842182617743357,83,76.96262498629658,0.0
2009,LA,1,18-24,0.15470294775792415,83,77.07305710167846,0.7142857142857143
2009,LA,2,25-34,0.22887072276082454,109,97.62874302629923,0.0
2009,LA,3,35-44,0.25138284414021084,103,93.74558660763157,0.0
2009,LA,4,45-54,0.309474212409967,126,115.31995809772606,0.0
2009,LA,5,55-64,0.22650159259817615,90,83.59663534136273,0.0
2009,LA,6,65+,0.384900428001449,86,81.80111981396986,0.0
2009,MA,1,18-24,0.17433091786681165,66,57.357472406052906,0.0
2009,MA,2,25-34,0.18250518567744428,102,86.58060226805831,0.0
2009,MA,3,35-44,0.27482510136118404,115,102.90876257203051,0.0
2009,MA,4,45-54,0.25429094894314264,118,106.50487246979617,0.0
2009,MA,5,55-64,0.24465639709704304,86,78.72771423772593,0.0
2009,MA,6,65+,0.32583170682686075,85,78.30871807815936,0.0
2009,MD,1,18-24,0.17220320423156135,64,57.013166981725966,0.0
2009,MD,2,25-34,0.2368309746248539,91,79.86300681572065,0.0
2009,MD,3,35-44,0.28546168661321636,113,101.8484438589872,0.0
2009,MD,4,45-54,0.29125540617169393,119,108.69998178409729,0.0
2009,MD,5,55-64,0.2957451347861746,91,83.38798359887778,0.0
2009,MD,6,65+,0.3010893230450135,83,75.87102609314091,0.0
2009,ME,1,18-24,0.16966331892339898,56,51.00333000695416,0.0
2009,ME,2,25-34,0.1479482973620957,77,71.30506523567075,0.0
2009,ME,3,35-44,0.2546049717292211,99,91.4333429731855,0.0
2009,ME,4,45-54,0.23883952025911326,143,132.45509779763717,0.0
2009,ME,5,55-64,0.2969170979316458,107,98.4616547800176,0.0
2009,ME,6,65+,0.39990204759722914,94,87.18493327409382,0.0
2009,MI,1,18-24,0.16617420294639648,65,58.95946122110097,1.0
2009,MI,2,25-34,0.2433764597481154,90,81.98228843445588,0.5
