hq_state,coef,se,n,n_firms,state,pass3_panel_mean_pct
US-AL,,,319.0,3.0,AL,23.525062218173804
US-AR,-0.0002680339041367082,0.29261283303672597,1026.0,7.0,AR,21.24467579406488
US-AZ,-0.4227401765876495,0.37099105146690964,1199.0,12.0,AZ,24.574494943387243
US-CA,-0.09908534655249131,0.09852736871428741,18371.0,220.0,CA,25.056977498039696
US-CO,0.29829190803392375,0.10229625821747215,1780.0,22.0,CO,24.3544741632754
US-CT,-0.2041534152304979,0.05370379529215944,1366.0,11.0,CT,26.813507980346834
US-DC,-0.4333681272104286,0.7109696932849293,507.0,5.0,DC,27.324648496100068
US-DE,,,297.0,3.0,DE,25.8265992089702
US-FL,0.12239017794308149,0.1228358905874025,3530.0,33.0,FL,23.02672088063084
US-GA,-0.24114229032036485,0.22375202892012216,3004.0,24.0,GA,23.65856565917972
US-HI,,,180.0,1.0,HI,28.04274654306472
US-IA,-0.8644146634523434,0.3045112192335211,1143.0,8.0,IA,24.45956282919032
US-ID,,,180.0,1.0,ID,23.531476844238224
US-IL,-0.06425990775411403,0.15513952725331798,4831.0,43.0,IL,24.004669532871908
US-IN,-0.10233438161919849,0.07851258430330299,2286.0,18.0,IN,23.47122398315705
US-KS,-0.21082824790662555,0.27839906834330963,764.0,7.0,KS,23.751544250403192
US-KY,-0.23419482748136636,0.45439539420139496,989.0,7.0,KY,22.508371391385605
US-LA,0.05785066505823986,0.0860407472887211,595.0,7.0,LA,21.520574256932413
US-MA,-0.053171528005725464,0.12167543497473739,4263.0,51.0,MA,24.97479068074635
US-MD,-0.21056009589665822,0.1578590916851398,1405.0,13.0,MD,25.69941241694158
US-ME,,,180.0,1.0,ME,25.1743648348112
US-MI,-0.33996911715855777,0.3137418406273877,1771.0,17.0,MI,23.764486799568576
US-MN,-0.3217538138038391,0.15893545367283088,2815.0,21.0,MN,28.02624226394505
US-MO,-0.06837452610046386,0.19589079129879072,2496.0,19.0,MO,24.811136951232225
US-MS,,,540.0,3.0,MS,20.62393938684535
US-MT,,,153.0,1.0,MT,24.767419293680117
US-NC,0.25218069144036565,0.1079488904478042,2778.0,27.0,NC,24.30672992775761
US-ND,,,219.0,2.0,ND,24.800473619195856
US-NE,-1.5389972928908382,0.5375481989816798,1122.0,8.0,NE,25.333220310510807
US-NH,,,448.0,4.0,NH,27.36394889535764
US-NJ,-0.2621554361785889,0.11087110916301353,4513.0,32.0,NJ,26.563780394298654
US-NV,0.01904650929914124,0.11352832571932706,1712.0,13.0,NV,24.742373894877847
US-NY,0.19881848527288215,0.12998824790345742,10032.0,94.0,NY,24.86469021663052
US-OH,-0.01628515515479315,0.07825690680031848,4754.0,33.0,OH,21.032100687305448
US-OK,-0.016925270354036456,0.07464439506690773,1350.0,8.0,OK,21.95089544757035
US-OR,,,411.0,3.0,OR,22.8832262678608
US-PA,0.009536531801442663,0.17128172604802183,4112.0,34.0,PA,24.89168489595998
US-RI,,,180.0,1.0,RI,25.23570222258844
US-SC,0.5598803470682118,0.12094929720856595,671.0,5.0,SC,23.50781183186948
US-SD,,,334.0,2.0,SD,26.44097491165612
US-TN,-0.2694716658037678,0.34085988338908807,1510.0,14.0,TN,22.209684472692054
US-TX,-0.035720383729021296,0.1016060875659266,9782.0,94.0,TX,21.37668085863281
US-UT,0.023542015138005905,0.07062753557695262,567.0,9.0,UT,25.250032227834467
US-VA,-0.1574767492088362,0.13280948887549687,2615.0,25.0,VA,24.957974039131283
US-WA,-0.11081929899133777,0.06115057752929243,1931.0,20.0,WA,25.10560314164316
US-WI,-0.5904677665306794,0.5889776930393829,1480.0,14.0,WI,25.369873833852903
US-WV,,,540.0,3.0,WV,21.39469835326997
