hq_state,coef,se,n,n_firms,lit_mean_state,t,state,coef_shrunk,shrink_weight
US-AK,-0.00209221351072106,0.009327951441216151,328.0,2.0,1.8775554393949792,-0.22429506884828757,AK,0.0019133237630721343,0.8106641191016379
US-AL,0.00414348224278177,0.009602890799388787,464.0,6.0,1.7676871349493237,0.43148280339140144,AL,0.0030826278835086375,0.819420866335661
US-AR,-0.0035894227007823507,0.005808473111224577,1058.0,6.0,1.7163290546683736,-0.617963212026578,AR,0.0004286209978923356,0.624087890566326
US-AZ,-0.005157747496138453,0.003720266000781773,1944.0,20.0,1.7926828350510504,-1.3863921276206082,AZ,-0.0019139880421251076,0.4051361725744381
US-CA,0.001249320544114303,0.0008694508255385852,31872.0,428.0,1.786979082780826,1.4369076518392008,CA,0.0013066864685639017,0.03586440566816268
US-CO,0.004705203331376042,0.002496735213816908,3550.0,37.0,1.7989321019868747,1.884542383724751,CO,0.004269439509858326,0.2347409760159118
US-CT,-0.00512267332146587,0.0037601448110361926,2847.0,30.0,1.8107601106332964,-1.3623606480342447,CT,-0.0018520746143164577,0.4102856407616079
US-DC,0.03170352882386696,0.0076931180569527234,475.0,4.0,1.870306291399126,4.121024607859049,DC,0.010224167079292525,0.7443977010073987
US-DE,0.009788094302925035,0.009473765818689635,792.0,9.0,1.8341962818616457,1.0331788319714743,DE,0.004129968935095799,0.8153798113398399
US-FL,0.006629953997127522,0.002173984461560063,6769.0,76.0,1.7247931306908972,3.049678649666995,FL,0.005916514448607177,0.18868516706408806
US-GA,0.0019007295590698864,0.002678617609500677,4821.0,47.0,1.7508778908969846,0.709593468036747,GA,0.0021481285922707663,0.26093820253460615
US-HI,0.012500503660770134,0.008538505051579715,593.0,4.0,1.8974332457388805,1.464015490446704,HI,0.004952719840386132,0.7820191917221437
US-IA,-0.007248754878478816,0.0036438854273544586,1169.0,7.0,1.850442820005432,-1.989292754394194,IA,-0.003258407871188182,0.39517784634440645
US-ID,-0.007136610502638296,0.013062321754077327,659.0,6.0,1.823767707351612,-0.5463508430582523,ID,0.0017861168444728175,0.8935725642838221
US-IL,0.0013070155609034438,0.002012632512258694,7714.0,65.0,1.7439035908593081,0.6494059660382979,IL,0.0015632649855358922,0.16619850436163372
US-IN,0.0062407416864745545,0.0019604584018528687,3826.0,28.0,1.7724777432525587,3.183307373712344,IN,0.005701273541644289,0.15904606962769693
US-KS,-0.0015428618418913537,0.0022969513983323833,820.0,7.0,1.786974980465122,-0.6716998204713829,KS,-0.0006376869593437787,0.2061101331710587
US-KY,0.0102294199668368,0.005398255379843937,1060.0,9.0,1.7532120627781267,1.8949492469421725,KY,0.005881154172984638,0.5891498523488105
US-LA,0.004962898039025449,0.004041239105719675,1182.0,13.0,1.717270000351403,1.228063450143627,LA,0.0040209441588379205,0.44556735294711014
US-MA,0.0018957151560781479,0.0015702202113005504,11788.0,154.0,1.787964434609189,1.207292545615626,MA,0.001998842919264493,0.10819929053317114
US-MD,-0.00234325391769834,0.0020001424084819495,3130.0,34.0,1.8262260013042848,-1.1715435399806369,MD,-0.0014892560609018916,0.1644803362049594
US-ME,0.002637691276761991,0.017753441829706167,380.0,3.0,1.8439530369976571,0.14857351617016828,ME,0.0028360534251328636,0.9394291804649729
US-MI,0.0010695269946965407,0.003878072143484763,2937.0,34.0,1.7678699958777715,0.275788318299691,MI,0.0018262831919280411,0.42530734770687395
US-MN,0.001305177186898353,0.0017245915086981543,5341.0,46.0,1.8577555623753432,0.7568036722409671,MN,0.0015022569736095612,0.127669976978609
US-MO,-4.2917956391279976e-05,0.0035994927296970694,3258.0,30.0,1.8262928673587813,-0.011923334651350141,MO,0.0010829421101960937,0.38933371724196814
US-MS,0.004012632725275704,0.007537832192235887,895.0,5.0,1.687342477403138,0.5323324561946065,MS,0.0031554307756303454,0.7365608894346327
US-MT,0.004226227392738541,0.00040657367202033486,498.0,5.0,1.8829983563258679,10.394739461947172,MT,0.00421511389476224,0.008068552637533569
US-NC,-0.002089949961075379,0.0015742360457792256,5010.0,46.0,1.7578743555363823,-1.3275963072239791,NC,-0.0015531367179191964,0.1086932051353259
US-ND,0.00073593792593918,0.001248702394315286,358.0,2.0,1.8576803058606794,0.5893621484907335,ND,0.0008865040916274757,0.07126025827327868
US-NE,0.019073405166675623,0.02604318580437487,1186.0,9.0,1.8583895259166738,0.732376035326353,NE,0.0033208277718821556,0.9709092481490482
US-NH,0.017323976541290958,0.004285030720221927,347.0,5.0,1.8964462632465704,4.04290603087992,NH,0.010453199812091918,0.4746606819849586
US-NJ,0.004970031158355249,0.0033453155800614092,7511.0,68.0,1.7785080888168776,1.485668852283292,NJ,0.004216739813084876,0.3551270849074066
US-NV,0.005298968383314937,0.004157342650933982,2160.0,19.0,1.7691274619338933,1.2746046761684366,NV,0.004172887373242914,0.45960139270558525
US-NY,0.004361145719035312,0.0023477622533623105,16018.0,184.0,1.7290836926856386,1.8575755329525236,NY,0.004038476891613413,0.21336260032203438
US-OH,-0.007180617409737706,0.0044081336336624175,8416.0,61.0,1.70386095385406,-1.6289473066114424,OH,-0.002278190443761231,0.48880266090977603
US-OK,0.007644610831969595,0.0040075635682498955,1387.0,12.0,1.7445162240665224,1.9075457448845907,OK,0.0055275821879355504,0.44143685547114436
US-OR,0.0011218504205439967,0.004872325973495059,1233.0,15.0,1.8145972722058572,0.23024945922065662,OR,0.0020523242700726564,0.5387827529204627
US-PA,0.00399269299299629,0.0017011572309803926,8145.0,82.0,1.7410454712728276,2.3470452467790204,PA,0.0038501081223577868,0.1246534766053059
US-RI,-0.010078680363029065,0.0026386644563694307,1324.0,9.0,1.803453000078139,-3.819614251709912,RI,-0.006779786822739063,0.2551837217292778
US-SC,8.856817696687977e-05,0.004406466585926475,946.0,8.0,1.7612949685117123,0.020099591189401474,SC,0.001437276119013751,0.4886136339022565
US-SD,0.001261414954948599,0.0023326482619518453,645.0,5.0,1.9046377450907825,0.540765179012934,SD,0.0015966840184793232,0.21120267562602524
US-TN,0.009153208672481815,0.0023408407229671634,2598.0,25.0,1.7228941871600054,3.9102227600003236,TN,0.00781433043260076,0.21237319066842741
US-TX,0.004468275343583033,0.0015683819527127474,17812.0,191.0,1.6853280974382647,2.8489714102196175,TX,0.0042934196716520765,0.10797343853014364
US-UT,-0.0025118978559551036,0.0033819871454326064,1802.0,22.0,1.8468500198860782,-0.7427283865781207,UT,-0.0005813005901643422,0.3601362750803581
US-VA,-0.0013100886732993148,0.004211569032287198,4634.0,48.0,1.7715889499613353,-0.3110690251675249,VA,0.0006281609657148409,0.4660450717805341
