hq_state,coef,se,n,n_firms,state,pass3_panel_mean_pct
US-AK,,,330.0,2.0,AK,24.192542791982284
US-AL,-1.4164146442783638,0.5432902847876191,470.0,6.0,AL,23.525062218173804
US-AR,0.21644197223271588,0.0716611644412618,1064.0,6.0,AR,21.24467579406488
US-AZ,-0.12066018421504286,0.2084627392075286,1964.0,20.0,AZ,24.574494943387243
US-CA,0.004333361351555617,0.06507559610750396,32301.0,429.0,CA,25.056977498039696
US-CO,-0.04645433075509468,0.07694286774219511,3587.0,37.0,CO,24.3544741632754
US-CT,0.21009436763620887,0.1907890448737523,2877.0,30.0,CT,26.813507980346834
US-DC,,,479.0,4.0,DC,27.324648496100068
US-DE,0.043630606880794294,0.3117910108914628,802.0,10.0,DE,25.8265992089702
US-FL,0.2384819101757315,0.07466879070759859,6845.0,76.0,FL,23.02672088063084
US-GA,-0.023091870382320825,0.13653885633425433,4868.0,47.0,GA,23.65856565917972
US-HI,,,597.0,4.0,HI,28.04274654306472
US-IA,-0.20215712656090767,0.07059355057463768,1176.0,7.0,IA,24.45956282919032
US-ID,-1.1049753394374993,0.33227113533649916,665.0,6.0,ID,23.531476844238224
US-IL,-0.007156033977972772,0.14945871294024346,7779.0,65.0,IL,24.004669532871908
US-IN,0.11637407236583065,0.074167962557005,3854.0,28.0,IN,23.47122398315705
US-KS,-0.32235252095384165,0.2099509121892915,827.0,7.0,KS,23.751544250403192
US-KY,-0.03615165560168323,0.2890332876759471,1069.0,9.0,KY,22.508371391385605
US-LA,0.4404670848922529,0.25931320553471887,1195.0,13.0,LA,21.520574256932413
US-MA,-0.019230268185225448,0.07219995865426466,11943.0,155.0,MA,24.97479068074635
US-MD,-0.008373826733343937,0.08426995339203681,3164.0,34.0,MD,25.69941241694158
US-ME,,,383.0,3.0,ME,25.1743648348112
US-MI,-0.11830213280970314,0.20320234215995792,3151.0,35.0,MI,23.764486799568576
US-MN,-0.055226248639013306,0.08676478705827642,5387.0,46.0,MN,28.02624226394505
US-MO,-0.4468741344012681,0.22886087067590097,3288.0,30.0,MO,24.811136951232225
US-MS,0.4988066638816142,0.4869387077121147,900.0,5.0,MS,20.62393938684535
US-MT,-0.5374133831209007,0.18682053286780384,503.0,5.0,MT,24.767419293680117
US-NC,0.1978156770007129,0.08091138098918553,5056.0,46.0,NC,24.30672992775761
US-ND,,,360.0,2.0,ND,24.800473619195856
US-NE,-1.4825305880928967,0.5410190556350283,1195.0,9.0,NE,25.333220310510807
US-NH,-1.0221264161251389,0.08639912070604555,352.0,5.0,NH,27.36394889535764
US-NJ,-0.14335810093679593,0.11143030100099714,7579.0,68.0,NJ,26.563780394298654
US-NV,0.10354541159210147,0.08865305452739677,2179.0,19.0,NV,24.742373894877847
US-NY,-0.11130073268725817,0.13709288131698805,16204.0,186.0,NY,24.86469021663052
US-OH,0.025678307805149663,0.06721106354747938,8477.0,61.0,OH,21.032100687305448
US-OK,-0.024084157088250034,0.2213067760972839,1399.0,12.0,OK,21.95089544757035
US-OR,0.12350830503053097,0.16938402221458887,1248.0,15.0,OR,22.8832262678608
US-PA,-0.16422419126739016,0.11675012102926897,8227.0,82.0,PA,24.89168489595998
US-RI,0.07762157598285942,0.14355266451473395,1333.0,9.0,RI,25.23570222258844
US-SC,0.2650538174583546,0.1494664581610872,954.0,8.0,SC,23.50781183186948
US-SD,0.057815236351483376,0.1904123420041877,650.0,5.0,SD,26.44097491165612
US-TN,0.16719350169245453,0.1964711553294135,2623.0,25.0,TN,22.209684472692054
US-TX,0.007410671661544072,0.06737166629461476,18003.0,191.0,TX,21.37668085863281
US-UT,0.04930589110367693,0.064105194461398,1824.0,22.0,UT,25.250032227834467
US-VA,-0.03807424206350022,0.07199928436858738,4682.0,48.0,VA,24.957974039131283
US-VT,,,41.0,1.0,VT,24.135603132040547
US-WA,-0.06397961047000307,0.05351954349594617,4171.0,46.0,WA,25.10560314164316
US-WI,-0.12168894380956657,0.3216726798856972,2933.0,21.0,WI,25.369873833852903
US-WV,,,608.0,4.0,WV,21.39469835326997
US-WY,,,23.0,2.0,WY,24.59975302089125
