hq_state,coef_pre,se_pre,n_pre,n_firms_pre,coef_post,se_post,n_post,n_firms_post,state,pass3_panel_mean_pct,diff,se_diff
US-AR,-2.927904201463209,0.5885664085073423,432.0,6.0,0.40271531556128043,0.19002748771210914,632.0,6.0,AR,21.24467579406488,3.3306195170244894,0.6184827105986129
US-AZ,0.9366899256265291,0.499509983846548,801.0,13.0,-0.14341118274481604,0.2934933657023723,1163.0,16.0,AZ,24.574494943387243,-1.0801011083713452,0.5793518617159049
US-CA,-0.025799324620481314,0.21474577894854738,12190.0,240.0,0.02954048027760281,0.07435778294522613,20111.0,346.0,CA,25.056977498039696,0.05533980489808413,0.2272549877576898
US-CO,0.1855160206560681,0.13394774570277498,1465.0,29.0,-0.0980583086458667,0.07016648826250382,2122.0,33.0,CO,24.3544741632754,-0.2835743293019348,0.15121287859817814
US-CT,-1.3805457033956783,0.7159830563270442,1341.0,24.0,0.6091197607333102,0.305136861151401,1536.0,24.0,CT,26.813507980346834,1.9896654641289886,0.7782931587652204
US-DE,-1.12023333041021,1.653970774583579,316.0,5.0,0.5192137285960126,0.5746305261433236,486.0,9.0,DE,25.8265992089702,1.6394470590062225,1.750948190196488
US-GA,-0.08452122483745751,0.27462329322467144,2174.0,37.0,-0.25417486704798903,0.2051208490364696,2694.0,37.0,GA,23.65856565917972,-0.16965364221053153,0.3427718131512654
US-IA,0.23539257242023262,0.22254795874225794,432.0,6.0,-0.7110670921397912,0.14500146906966763,744.0,7.0,IA,24.45956282919032,-0.9464596645600238,0.26561818456707276
US-IL,-0.10231419112945271,0.46692492482894243,3208.0,57.0,0.09764442459534482,0.17671013656474988,4571.0,55.0,IL,24.004669532871908,0.19995861572479753,0.49924478744524325
US-IN,0.2972585717520322,0.37116761439301715,1491.0,25.0,0.22871356412986954,0.19347084114975852,2363.0,27.0,IN,23.47122398315705,-0.06854500762216265,0.41856464775396235
US-KY,-0.262690850134842,0.07912920927937217,465.0,8.0,-0.4467321825267798,0.21142832502194764,604.0,7.0,KY,22.508371391385605,-0.18404133239193782,0.22575067748019054
US-LA,-0.6824665595723957,1.3991751982024558,556.0,10.0,0.8252353772324172,0.12010001905189083,639.0,10.0,LA,21.520574256932413,1.5077019368048128,1.404320209155001
US-MA,0.07620792068510918,0.09153019988262298,4273.0,79.0,-0.0928040702473688,0.1404728326548379,7670.0,133.0,MA,24.97479068074635,-0.16901199093247798,0.16766154658903457
US-MD,0.1360947885389076,0.13543990083571106,1393.0,25.0,0.007443506323981886,0.176202040158897,1771.0,25.0,MD,25.69941241694158,-0.12865128221492572,0.2222411431183362
US-MI,-0.25814542957611786,0.1770042089493882,1304.0,27.0,0.012645977612454073,0.29237888155015396,1847.0,25.0,MI,23.764486799568576,0.2707914071885719,0.3417834114791378
US-MN,-0.06258457721838916,0.08692302859431313,2435.0,42.0,0.2641655679495986,0.3479429083772716,2952.0,36.0,MN,28.02624226394505,0.3267501451679878,0.3586361392693745
US-MO,-1.1062907192426743,0.23246297604859906,1693.0,27.0,0.12315489916631268,0.13296352829599684,1595.0,23.0,MO,24.811136951232225,1.229445618408987,0.26780279141616853
