state,pf_gradyear,has_pf_mandate,early_pf_adopter,years_pf_to_2014,log_years_pf,state_code,pass3_panel_mean_pct,pass3_panel_mean
AK,,0,0,0,0.0,US-AK,24.192542791982284,0.2419254279198228
AL,2017.0,1,0,0,0.0,US-AL,23.525062218173804,0.235250622181738
AR,2005.0,1,0,9,2.302585092994046,US-AR,21.24467579406488,0.2124467579406488
AZ,2005.0,1,0,9,2.302585092994046,US-AZ,24.574494943387243,0.2457449494338724
CA,,0,0,0,0.0,US-CA,25.056977498039696,0.2505697749803969
CO,2009.0,1,0,5,1.791759469228055,US-CO,24.3544741632754,0.243544741632754
CT,,0,0,0,0.0,US-CT,26.813507980346834,0.2681350798034683
DC,,0,0,0,0.0,US-DC,27.324648496100068,0.2732464849610007
DE,,0,0,0,0.0,US-DE,25.8265992089702,0.2582659920897019
FL,2018.0,1,0,0,0.0,US-FL,23.02672088063084,0.2302672088063083
GA,2007.0,1,0,7,2.0794415416798357,US-GA,23.65856565917972,0.2365856565917971
HI,,0,0,0,0.0,US-HI,28.04274654306472,0.2804274654306471
IA,2011.0,1,0,3,1.3862943611198906,US-IA,24.45956282919032,0.2445956282919032
ID,2007.0,1,0,7,2.0794415416798357,US-ID,23.531476844238224,0.2353147684423822
IL,1970.0,1,1,44,3.8066624897703196,US-IL,24.004669532871908,0.240046695328719
IN,2013.0,1,0,1,0.6931471805599453,US-IN,23.47122398315705,0.2347122398315705
KS,2012.0,1,0,2,1.0986122886681098,US-KS,23.751544250403192,0.2375154425040319
KY,2024.0,1,0,0,0.0,US-KY,22.508371391385605,0.225083713913856
LA,2005.0,1,0,9,2.302585092994046,US-LA,21.520574256932413,0.2152057425693241
MA,,0,0,0,0.0,US-MA,24.97479068074635,0.2497479068074634
MD,,0,0,0,0.0,US-MD,25.69941241694158,0.2569941241694158
ME,2017.0,1,0,0,0.0,US-ME,25.1743648348112,0.2517436483481119
MI,1998.0,1,1,16,2.833213344056216,US-MI,23.764486799568576,0.2376448679956857
MN,2015.0,1,0,0,0.0,US-MN,28.02624226394505,0.2802624226394505
MO,2010.0,1,0,4,1.6094379124341003,US-MO,24.811136951232225,0.2481113695123222
MS,,0,0,0,0.0,US-MS,20.62393938684535,0.2062393938684535
MT,,0,0,0,0.0,US-MT,24.767419293680117,0.2476741929368011
NC,2005.0,1,0,9,2.302585092994046,US-NC,24.30672992775761,0.2430672992775761
ND,2011.0,1,0,3,1.3862943611198906,US-ND,24.800473619195856,0.2480047361919585
NE,2014.0,1,0,0,0.0,US-NE,25.333220310510807,0.253332203105108
NH,1993.0,1,1,21,3.091042453358316,US-NH,27.36394889535764,0.2736394889535764
NJ,2014.0,1,0,0,0.0,US-NJ,26.563780394298654,0.2656378039429865
NM,,0,0,0,0.0,US-NM,24.014013436817887,0.2401401343681788
NV,2022.0,1,0,0,0.0,US-NV,24.742373894877847,0.2474237389487784
NY,1996.0,1,1,18,2.9444389791664403,US-NY,24.86469021663052,0.2486469021663052
OH,2014.0,1,0,0,0.0,US-OH,21.032100687305448,0.2103210068730545
OK,2014.0,1,0,0,0.0,US-OK,21.95089544757035,0.2195089544757034
OR,2013.0,1,0,1,0.6931471805599453,US-OR,22.8832262678608,0.2288322626786079
PA,,0,0,0,0.0,US-PA,24.89168489595998,0.2489168489595997
RI,,0,0,0,0.0,US-RI,25.23570222258844,0.2523570222258844
SC,2009.0,1,0,5,1.791759469228055,US-SC,23.50781183186948,0.2350781183186948
SD,,0,0,0,0.0,US-SD,26.44097491165612,0.2644097491165612
TN,2011.0,1,0,3,1.3862943611198906,US-TN,22.209684472692054,0.2220968447269205
TX,2007.0,1,0,7,2.0794415416798357,US-TX,21.37668085863281,0.213766808586328
UT,2008.0,1,0,6,1.9459101490553132,US-UT,25.250032227834467,0.2525003222783447
VA,2015.0,1,0,0,0.0,US-VA,24.957974039131283,0.2495797403913128
VT,,0,0,0,0.0,US-VT,24.135603132040547,0.2413560313204054
WA,,0,0,0,0.0,US-WA,25.10560314164316,0.2510560314164315
WI,,0,0,0,0.0,US-WI,25.369873833852903,0.253698738338529
WV,2020.0,1,0,0,0.0,US-WV,21.39469835326997,0.2139469835326996
WY,2002.0,1,0,12,2.5649493574615367,US-WY,24.59975302089125,0.2459975302089125
